,month,month_name,year,total_violent_count,total_gun_poss_count,total_violent_arrests,total_gun_poss_arrests,vi_ar,gp_ar,violent_count_yoy_change,violent_count_yoy_pct,gun_poss_count_yoy_change,gun_poss_count_yoy_pct,vi_ar_yoy_change,gp_ar_yoy_change
31,8,Aug,2016,2034,238,266,306,13.08,128.57,466.0,29.719387755102034,-14.0,-5.555555555555558,-4.270000000000001,-2.780000000000001
43,8,Aug,2017,1893,379,274,468,14.47,123.48,-141.0,-6.932153392330386,141.0,59.243697478991585,1.3900000000000006,-5.089999999999989
55,8,Aug,2018,1687,397,274,494,16.24,124.43,-206.0,-10.882197569994723,18.0,4.74934036939314,1.7699999999999978,0.9500000000000028
67,8,Aug,2019,1453,446,229,572,15.76,128.25,-234.0,-13.870776526378181,49.0,12.34256926952142,-0.47999999999999865,3.819999999999993
79,8,Aug,2020,1521,631,214,733,14.07,116.16,68.0,4.679972470750182,185.0,41.47982062780269,-1.6899999999999995,-12.090000000000003
91,8,Aug,2021,1450,447,151,496,10.41,110.96,-71.0,-4.667981591058512,-184.0,-29.160063391442158,-3.66,-5.200000000000003
103,8,Aug,2022,1565,529,210,585,13.42,110.59,115.0,7.931034482758625,82.0,18.344519015659966,3.01,-0.36999999999999034
115,8,Aug,2023,2002,508,196,588,9.79,115.75,437.0,27.923322683706076,-21.0,-3.969754253308133,-3.630000000000001,5.159999999999997
127,8,Aug,2024,1564,467,186,539,11.89,115.42,-438.0,-21.87812187812188,-41.0,-8.07086614173228,2.1000000000000014,-0.3299999999999983
8,9,Sep,2014,1498,191,307,261,20.49,136.65,,,,,,
20,9,Sep,2015,1552,234,312,336,20.1,143.59,54.0,3.604806408544725,43.0,22.51308900523561,-0.389999999999997,6.939999999999998
32,9,Sep,2016,1756,266,255,316,14.52,118.8,204.0,13.144329896907214,32.0,13.675213675213671,-5.580000000000002,-24.790000000000006
44,9,Sep,2017,1756,356,271,428,15.43,120.22,0.0,0.0,90.0,33.83458646616542,0.9100000000000001,1.4200000000000017
56,9,Sep,2018,1485,344,216,424,14.55,123.26,-271.0,-15.43280182232346,-12.0,-3.3707865168539297,-0.879999999999999,3.0400000000000063
68,9,Sep,2019,1298,388,188,497,14.48,128.09,-187.0,-12.592592592592588,44.0,12.790697674418606,-0.07000000000000028,4.829999999999998
80,9,Sep,2020,1400,510,202,601,14.43,117.84,102.0,7.858243451463798,122.0,31.443298969072163,-0.05000000000000071,-10.25
92,9,Sep,2021,1584,488,162,537,10.23,110.04,184.0,13.142857142857146,-22.0,-4.313725490196074,-4.199999999999999,-7.799999999999997
104,9,Sep,2022,1601,518,173,603,10.81,116.41,17.0,1.0732323232323315,30.0,6.1475409836065475,0.5800000000000001,6.36999999999999
116,9,Sep,2023,1910,433,204,506,10.68,116.86,309.0,19.30043722673329,-85.0,-16.409266409266408,-0.13000000000000078,0.45000000000000284
128,9,Sep,2024,1556,468,190,553,12.21,118.16,-354.0,-18.53403141361256,35.0,8.083140877598161,1.5300000000000011,1.2999999999999972
9,10,Oct,2014,1557,196,315,275,20.23,140.31,,,,,,
21,10,Oct,2015,1532,220,239,295,15.6,134.09,-25.0,-1.6056518946692355,24.0,12.244897959183664,-4.630000000000001,-6.219999999999999
33,10,Oct,2016,1919,232,248,284,12.92,122.41,387.0,25.261096605744115,12.0,5.454545454545445,-2.6799999999999997,-11.680000000000007
45,10,Oct,2017,1823,297,251,390,13.77,131.31,-96.0,-5.002605523710269,65.0,28.01724137931034,0.8499999999999996,8.900000000000006
57,10,Oct,2018,1538,325,225,403,14.63,124.0,-285.0,-15.633571036752603,28.0,9.427609427609429,0.8600000000000012,-7.310000000000002
69,10,Oct,2019,1311,336,219,445,16.7,132.44,-227.0,-14.759427828348503,11.0,3.384615384615386,2.0699999999999985,8.439999999999998
81,10,Oct,2020,1418,528,158,581,11.14,110.04,107.0,8.16170861937453,192.0,57.14285714285714,-5.559999999999999,-22.39999999999999
93,10,Oct,2021,1558,429,150,485,9.63,113.05,140.0,9.873060648801136,-99.0,-18.75,-1.5099999999999998,3.009999999999991
105,10,Oct,2022,1682,446,157,501,9.33,112.33,124.0,7.958921694480092,17.0,3.962703962703973,-0.3000000000000007,-0.7199999999999989
117,10,Oct,2023,1944,397,185,500,9.52,125.94,262.0,15.576694411414982,-49.0,-10.986547085201792,0.1899999999999995,13.61
129,10,Oct,2024,1558,401,208,493,13.35,122.94,-386.0,-19.855967078189295,4.0,1.0075566750629816,3.83,-3.0
10,11,Nov,2014,1276,168,229,228,17.95,135.71,,,,,,
22,11,Nov,2015,1297,188,193,235,14.88,125.0,21.0,1.6457680250783646,20.0,11.904761904761907,-3.0699999999999985,-10.710000000000008
34,11,Nov,2016,1836,239,236,304,12.85,127.2,539.0,41.55744024672321,51.0,27.127659574468076,-2.030000000000001,2.200000000000003
46,11,Nov,2017,1731,268,202,352,11.67,131.34,-105.0,-5.718954248366015,29.0,12.133891213389125,-1.1799999999999997,4.140000000000001
